Command_Name,Description,Related commands
abstract,Produces a summary of each search result.,highlight
accum,Keeps a running total of the specified numeric field.,"autoregress, delta, trendline, streamstats"
addcoltotals,Computes an event that contains sum of all numeric fields for previous events.,"addtotals, stats"
addinfo,Add fields that contain common information about the current search.,search
addtotals,Computes the sum of all numeric fields for each result.,"addcoltotals, stats"
analyzefields,Analyze numerical fields for their ability to predict another discrete field.,anomalousvalue
anomalies,"Computes an ""unexpectedness"" score for an event.","anomalousvalue, cluster, kmeans, outlier"
anomalousvalue,"Finds and summarizes irregular, or uncommon, search results.","analyzefields, anomalies, cluster, kmeans, outlier"
anomalydetection,Identifies anomalous events by computing a probability for each event and then detecting unusually small probabilities.,"analyzefields, anomalies, anomalousvalue, cluster, kmeans, outlier"
append,Appends subsearch results to current results.,"appendcols, appendcsv, appendlookup, join, set"
appendcols,"Appends the fields of the subsearch results to current results, first results to first result, second to second, etc.","append, appendcsv, join, set"
appendpipe,Appends the result of the subpipeline applied to the current result set to results.,"append, appendcols, join, set"
arules,Finds association rules between field values.,"associate, correlate"
associate,Identifies correlations between fields.,"correlate, contingency"
audit,Returns audit trail information that is stored in the local audit index.,
autoregress,Sets up data for calculating the moving average.,"accum, autoregress, delta, trendline, streamstats"
bin (bucket),Puts continuous numerical values into discrete sets.,"chart, timechart"
bucketdir,"Replaces a field value with higher-level grouping, such as replacing filenames with directories.","cluster, dedup"
chart,"Returns results in a tabular output for charting. See also, Statistical and charting functions.","bin,sichart, timechart"
cluster,Clusters similar events together.,"anomalies, anomalousvalue, cluster, kmeans, outlier"
cofilter,Finds how many times field1 and field2 values occurred together.,"associate, correlate"
collect,Puts search results into a summary index.,overlap
concurrency,"Uses a duration field to find the number of ""concurrent"" events for each event.",timechart
contingency,Builds a contingency table for two fields.,"associate, correlate"
convert,Converts field values into numerical values.,eval
correlate,Calculates the correlation between different fields.,"associate, contingency"
datamodel,Examine data model or data model dataset and search a data model dataset.,pivot
dbinspect,Returns information about the specified index.,
dedup,Removes subsequent results that match a specified criteria.,uniq
delete,Delete specific events or search results.,
delta,Computes the difference in field value between nearby results.,"accum, autoregress, trendline, streamstats"
diff,Returns the difference between two search results.,
erex,Allows you to specify example or counter example values to automatically extract fields that have similar values.,"extract, kvform, multikv, regex, rex, xmlkv"
eval,"Calculates an expression and puts the value into a field. See also, Evaluation functions.",where
eventcount,Returns the number of events in an index.,dbinspect
eventstats,Adds summary statistics to all search results.,stats
extract (kv),Extracts field-value pairs from search results.,"kvform, multikv, xmlkv, rex"
fieldformat,Expresses how to render a field at output time without changing the underlying value.,"eval, where"
fields,Removes fields from search results.,
